Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
2516643,2-Feb-23,Texas,Houston,6425 Westheimer Rd,0,1,N/A
2516759,2-Feb-23,Tennessee,Clarksville,Peachers Mill Rd and 101st Airborne Division Pkwy,0,1,N/A
2516752,2-Feb-23,Indiana,North Vernon,810 W Walnut St,0,0,N/A
2516749,2-Feb-23,Minnesota,Chanhassen,700 block of Conestoga Trl,1,0,N/A
2516744,2-Feb-23,New York,Utica,1317 Noyes St,1,1,N/A
2516741,2-Feb-23,Georgia,Milledgeville,145 Black Spring Rd,1,0,N/A
2516727,2-Feb-23,Texas,Magnolia,31700 block of Oak Crossing,0,1,N/A
2516716,2-Feb-23,California,Santa Rosa,Mendocino Ave and Carrillo St,1,2,N/A
2516702,2-Feb-23,Tennessee,Memphis,5094 Poplar Ave,1,1,N/A
2516697,2-Feb-23,Maryland,Riverdale,6200 Tuckerman St,0,0,N/A
2516684,2-Feb-23,Maryland,Germantown,13300 block of Demetrias Way,0,1,N/A
2516671,2-Feb-23,Texas,Austin,3100 block of Wells Branch Pkwy,1,0,N/A
2516658,2-Feb-23,Ohio,Cincinnati,10101 Arborwood Dr,0,1,N/A
2516612,2-Feb-23,Indiana,Evansville,200 block of Harriet St,0,1,N/A
2516562,2-Feb-23,Florida,Gainesville,200 NW block of 3rd Ave,2,1,N/A
2516551,2-Feb-23,Indiana,Indianapolis,1300 block of W 26th St,1,0,N/A
2516538,2-Feb-23,Illinois,Chicago,800 block of W 101st St,0,1,N/A
2516536,2-Feb-23,North Carolina,Nashville,200 block W Washington St,0,1,N/A
2516492,2-Feb-23,Kentucky,Louisville,3400 block of Buckeye Rd,1,0,N/A
2516269,1-Feb-23,Alabama,Montgomery,2259 Bonaparte Blvd,0,1,N/A
2516276,1-Feb-23,Kentucky,Louisville,1800 block of Nelson Ave,0,1,N/A
2516274,1-Feb-23,Alabama,Montgomery,100 block of Kiwanis St,1,0,N/A
2516266,1-Feb-23,Georgia,Atlanta,Sunset Ave NW and Joseph E Boone Blvd NW,1,1,N/A
2516250,1-Feb-23,California,Fresno,Santa Clara St,0,1,N/A
2516113,1-Feb-23,Tennessee,Sweetwater,2000 block of Hiwassee Rd,0,1,N/A
2516239,1-Feb-23,Alabama,Mobile,Broad St and Baltimore St,0,1,N/A
2516122,1-Feb-23,Tennessee,Chattanooga,4310 6th Ave,1,0,N/A
2516134,1-Feb-23,Kentucky,Lexington,2000 block of Devonport Dr,0,1,N/A
2516152,1-Feb-23,Texas,Houston,1100 block of Sydnor Ct,0,1,N/A
2516260,1-Feb-23,Tennessee,Murfreesboro,2900 block of Pritchett Dr,1,0,N/A
2516127,1-Feb-23,Michigan,Detroit,4000 block of Courville St,0,1,N/A
2516118,1-Feb-23,Texas,Lubbock,2700 block of Teak Ave,0,1,N/A
2516747,1-Feb-23,Tennessee,Memphis,Chancellor Cove,1,0,N/A
2516093,1-Feb-23,Kentucky,Covington,43rd St and Boron Dr,0,1,N/A
2516091,1-Feb-23,Illinois,Chicago,6556 W 63rd Pl,0,1,N/A
2516087,1-Feb-23,Indiana,Portage,Kimdee Ave and Juniper St,0,1,N/A
2516083,1-Feb-23,Virginia,Richmond,3000 Mechanicsville Turnpike,0,1,N/A
2516070,1-Feb-23,Maryland,Hyattsville,7000 Adelphi Rd,0,0,N/A
2516737,1-Feb-23,California,Oakland,8930 Bancroft Ave,0,1,N/A
2516169,1-Feb-23,California,Newark,CA-84 and Thornton Ave,0,1,N/A
2516725,1-Feb-23,California,San Francisco,Ellis St and Hyde St,0,1,N/A
2516428,1-Feb-23,New Jersey,Parlin,163 Samuel Cir,1,0,N/A
2516138,1-Feb-23,California,Elk Grove,Bruceville Rd,0,1,N/A
2516705,1-Feb-23,California,Long Beach,700 block of Broadway Ct,1,0,N/A
2516032,1-Feb-23,Rhode Island,Pawtucket,Pidge Ave and Unity St,0,1,N/A
2516023,1-Feb-23,Indiana,Indianapolis,5300 block of Lunsford Cir,1,0,N/A
2516019,1-Feb-23,Ohio,Cleveland,3022 W 25th St,0,1,N/A
2516689,1-Feb-23,Minnesota,Minneapolis (Bloomington),3801 Minnesota Dr,3,0,N/A
2516393,1-Feb-23,District of Columbia,Washington,4520 Benning Rd SE,1,0,N/A
2516682,1-Feb-23,Indiana,Evansville,Monroe Ave and S Grand Ave,0,1,N/A
2516677,1-Feb-23,Delaware,Wilmington,2400 block of Bowers St,1,0,N/A
2515703,1-Feb-23,District of Columbia,Washington,700 14th St SE,1,2,N/A
2515964,1-Feb-23,Illinois,Peoria,S Laramie St and W Wiswall St,0,1,N/A
2515962,1-Feb-23,Indiana,Evansville,Read St and W Illinois St,0,1,N/A
2515846,1-Feb-23,Illinois,Chicago,1943 W Garfield Blvd,0,1,N/A
2516634,1-Feb-23,North Carolina,Monroe,2406 W Roosevelt Blvd,0,1,N/A
2516623,1-Feb-23,North Carolina,Spring Lake,S Fourth St,1,0,N/A
2516470,1-Feb-23,Missouri,Springfield,2100 W High St,1,0,N/A
2516616,1-Feb-23,Utah,Salt Lake City,1665 S Riverside Dr,1,0,N/A
2515900,1-Feb-23,North Carolina,Rocky Mount,100 block of Ashland Ave,0,1,N/A
2516610,1-Feb-23,Missouri,Cuba,1 Hood Pk Dr,1,0,N/A
2515893,1-Feb-23,Wisconsin,Milwaukee,4900 block of W Luscher Ave,0,1,N/A
2515875,1-Feb-23,Georgia,Columbus,Elm Dr and Edgewood Dr,0,1,N/A
2515870,1-Feb-23,Michigan,Warren,4385 Frazho Rd,0,1,N/A
2515866,1-Feb-23,Ohio,Mentor,Emerald Ct,0,1,N/A
2516595,1-Feb-23,New York,Newburgh,Ann St,0,1,N/A
2515844,1-Feb-23,Illinois,Chicago,16th St and S Central Ave,0,1,N/A
2515837,1-Feb-23,Michigan,Wixom,30951 Stone Ridge Dr,0,1,N/A
2515828,1-Feb-23,North Carolina,Edenton,N/A,1,0,N/A
2515826,1-Feb-23,Louisiana,Westlake,Westwood Dr,1,0,N/A
2515757,1-Feb-23,Georgia,Atlanta,2280 Campbellton Rd SW,1,0,N/A
2515773,1-Feb-23,Alabama,Hurtsboro,500 block of Lloyd St,1,0,N/A
2515770,1-Feb-23,Georgia,Augusta,2nd Ave,1,0,N/A
2516500,1-Feb-23,Pennsylvania,Pittsburgh,2500 block of Woodward Ave,0,1,N/A
2516544,1-Feb-23,Pennsylvania,Allentown,815 N Irving St,0,0,N/A
2516542,1-Feb-23,California,Los Angeles,W 8th St and S Figueroa St,0,1,N/A
2515725,1-Feb-23,Florida,Boca Raton,789 W Yamato Rd,0,1,N/A
2515698,1-Feb-23,Pennsylvania,Thomasville,2 A St,0,1,N/A
2516533,1-Feb-23,Illinois,Chicago,5600 block of S Wolcott Ave,0,2,N/A
2516531,1-Feb-23,North Carolina,Kernersville,1600 Union Cross Rd,0,0,N/A
2516529,1-Feb-23,North Carolina,Charlotte,8900 Park Rd,0,0,N/A
2516296,1-Feb-23,Kentucky,Louisville,6415 Outer Loop,0,0,N/A
2515700,1-Feb-23,Florida,Jacksonville,2000 block of 11th St W,0,2,N/A
2516525,1-Feb-23,Pennsylvania,Scranton,1100 block of Pittston Ave,0,1,N/A
2516521,1-Feb-23,Illinois,Chicago,6300 block of S Nashville Ave,0,1,N/A
